              table_name              |        column_name        |          data_type          
--------------------------------------+---------------------------+-----------------------------
 authors                              | id                        | text
 authors                              | orcid                     | text
 authors                              | display_name              | text
 authors                              | display_name_alternatives | ARRAY
 authors                              | works_count               | integer
 authors                              | cited_by_count            | integer
 authors                              | last_known_institution    | text
 authors                              | works_api_url             | text
 authors                              | updated_date              | timestamp without time zone
 authors_counts_by_year               | author_id                 | text
 authors_counts_by_year               | year                      | integer
 authors_counts_by_year               | works_count               | integer
 authors_counts_by_year               | cited_by_count            | integer
 authors_ids                          | author_id                 | text
 authors_ids                          | openalex                  | text
 authors_ids                          | orcid                     | text
 authors_ids                          | scopus                    | text
 authors_ids                          | twitter                   | text
 authors_ids                          | wikipedia                 | text
 authors_ids                          | mag                       | bigint
 concepts                             | id                        | text
 concepts                             | wikidata                  | text
 concepts                             | display_name              | text
 concepts                             | level                     | integer
 concepts                             | description               | text
 concepts                             | works_count               | integer
 concepts                             | cited_by_count            | integer
 concepts                             | image_url                 | text
 concepts                             | image_thumbnail_url       | text
 concepts                             | works_api_url             | text
 concepts                             | updated_date              | timestamp without time zone
 concepts_ancestors                   | concept_id                | text
 concepts_ancestors                   | ancestor_id               | text
 concepts_counts_by_year              | concept_id                | text
 concepts_counts_by_year              | year                      | integer
 concepts_counts_by_year              | works_count               | integer
 concepts_counts_by_year              | cited_by_count            | integer
 concepts_ids                         | concept_id                | text
 concepts_ids                         | openalex                  | text
 concepts_ids                         | wikidata                  | text
 concepts_ids                         | wikipedia                 | text
 concepts_ids                         | umls_aui                  | text
 concepts_ids                         | umls_cui                  | text
 concepts_ids                         | mag                       | bigint
 concepts_related_concepts            | concept_id                | text
 concepts_related_concepts            | related_concept_id        | text
 concepts_related_concepts            | score                     | real
 institutions                         | id                        | text
 institutions                         | ror                       | text
 institutions                         | display_name              | text
 institutions                         | country_code              | text
 institutions                         | type                      | text
 institutions                         | homepage_url              | text
 institutions                         | image_url                 | text
 institutions                         | image_thumbnail_url       | text
 institutions                         | display_name_acronyms     | ARRAY
 institutions                         | display_name_alternatives | ARRAY
 institutions                         | works_count               | integer
 institutions                         | cited_by_count            | integer
 institutions                         | works_api_url             | text
 institutions                         | updated_date              | timestamp without time zone
 institutions_associated_institutions | institution_id            | text
 institutions_associated_institutions | associated_institution_id | text
 institutions_associated_institutions | relationship              | text
 institutions_counts_by_year          | institution_id            | text
 institutions_counts_by_year          | year                      | integer
 institutions_counts_by_year          | works_count               | integer
 institutions_counts_by_year          | cited_by_count            | integer
 institutions_geo                     | institution_id            | text
 institutions_geo                     | city                      | text
 institutions_geo                     | geonames_city_id          | text
 institutions_geo                     | region                    | text
 institutions_geo                     | country_code              | text
 institutions_geo                     | country                   | text
 institutions_geo                     | latitude                  | double precision
 institutions_geo                     | longitude                 | double precision
 institutions_ids                     | institution_id            | text
 institutions_ids                     | openalex                  | text
 institutions_ids                     | ror                       | text
 institutions_ids                     | grid                      | text
 institutions_ids                     | wikipedia                 | text
 institutions_ids                     | wikidata                  | text
 institutions_ids                     | mag                       | bigint
 venues                               | id                        | text
 venues                               | issn_l                    | text
 venues                               | issn                      | ARRAY
 venues                               | display_name              | text
 venues                               | publisher                 | text
 venues                               | works_count               | integer
 venues                               | cited_by_count            | integer
 venues                               | is_in_doaj                | boolean
 venues                               | is_oa                     | boolean
 venues                               | homepage_url              | text
 venues                               | works_api_url             | text
 venues                               | updated_date              | timestamp without time zone
 venues_counts_by_year                | venue_id                  | text
 venues_counts_by_year                | year                      | integer
 venues_counts_by_year                | works_count               | integer
 venues_counts_by_year                | cited_by_count            | integer
 venues_ids                           | venue_id                  | text
 venues_ids                           | openalex                  | text
 venues_ids                           | issn_l                    | text
 venues_ids                           | issn                      | ARRAY
 venues_ids                           | mag                       | bigint
 works                                | id                        | text
 works                                | doi                       | text
 works                                | title                     | text
 works                                | display_name              | text
 works                                | publication_year          | integer
 works                                | publication_date          | text
 works                                | type                      | text
 works                                | cited_by_count            | integer
 works                                | is_retracted              | boolean
 works                                | is_paratext               | boolean
 works                                | host_venue                | text
 works_alternate_host_venues          | work_id                   | text
 works_alternate_host_venues          | venue_id                  | text
 works_biblio                         | work_id                   | text
 works_biblio                         | volume                    | text
 works_biblio                         | issue                     | text
 works_biblio                         | first_page                | text
 works_biblio                         | last_page                 | text
 works_concepts                       | work_id                   | text
 works_concepts                       | concept_id                | text
 works_concepts                       | score                     | real
 works_ids                            | work_id                   | text
 works_ids                            | openalex                  | text
 works_ids                            | doi                       | text
 works_ids                            | pmid                      | text
 works_ids                            | pmcid                     | text
 works_ids                            | mag                       | bigint
 works_mesh                           | work_id                   | text
 works_mesh                           | descriptor_ui             | text
 works_mesh                           | descriptor_name           | text
 works_mesh                           | qualifier_ui              | text
 works_mesh                           | qualifier_name            | text
 works_open_access                    | work_id                   | text
 works_open_access                    | is_oa                     | boolean
 works_open_access                    | oa_status                 | text
 works_open_access                    | oa_url                    | text
 works_referenced_works               | work_id                   | text
 works_referenced_works               | referenced_work_id        | text
 works_related_works                  | work_id                   | text
 works_related_works                  | related_work_id           | text
(144 rows)

